Time	CID	Xcord	Ycord	BotID	Energy
1135.69	3	250.00	0.00	2	7587.18750
1135.75	3	250.00	0.00	2	7618.12500
1135.81	3	250.00	0.00	2	7649.06250
1135.88	3	250.00	0.00	2	7680.00000
1135.94	3	250.00	0.00	2	7710.93750
1136.00	3	250.00	0.00	2	7741.87500
1136.06	3	250.00	0.00	2	7772.81250
1136.13	3	250.00	0.00	2	7803.75000
1136.19	3	250.00	0.00	2	7834.68750
1136.25	3	250.00	0.00	2	7865.62500
1136.31	3	250.00	0.00	2	7896.56250
1136.38	3	250.00	0.00	2	7927.50000
1136.44	3	250.00	0.00	2	7958.43750
1136.50	3	250.00	0.00	2	7989.37500
1136.56	3	250.00	0.00	2	8020.31250
1136.63	3	250.00	0.00	2	8051.25000
1136.69	3	250.00	0.00	2	8082.18750
1136.75	3	250.00	0.00	2	8113.12500
1136.81	3	250.00	0.00	2	8144.06250
1136.88	3	250.00	0.00	2	8175.00000
1136.94	3	250.00	0.00	2	8205.93750
1137.00	3	250.00	0.00	2	8236.87500
1137.06	3	250.00	0.00	2	8267.81250
1137.13	3	250.00	0.00	2	8298.75000
1137.19	3	250.00	0.00	2	8329.68750
1137.25	3	250.00	0.00	2	8360.62500
1137.31	3	250.00	0.00	2	8391.56250
1137.38	3	250.00	0.00	2	8422.50000
1137.44	3	250.00	0.00	2	8453.43750
1137.50	3	250.00	0.00	2	8484.37500
1137.56	3	250.00	0.00	2	8515.31250
1137.63	3	250.00	0.00	2	8546.25000
1137.69	3	250.00	0.00	2	8577.18750
1137.75	3	250.00	0.00	2	8608.12500
1137.81	3	250.00	0.00	2	8639.06250
1137.88	3	250.00	0.00	2	8670.00000
1137.94	3	250.00	0.00	2	8700.93750
1138.00	3	250.00	0.00	2	8731.87500
1138.06	3	250.00	0.00	2	8762.81250
1138.13	3	250.00	0.00	2	8793.75000
1138.19	3	250.00	0.00	2	8824.68750
1138.25	3	250.00	0.00	2	8855.62500
1138.31	3	250.00	0.00	2	8886.56250
1138.38	3	250.00	0.00	2	8917.50000
1138.44	3	250.00	0.00	2	8948.43750
1138.50	3	250.00	0.00	2	8979.37500
1138.56	3	250.00	0.00	2	9010.31250
1138.63	3	250.00	0.00	2	9041.25000
1138.69	3	250.00	0.00	2	9072.18750
1138.75	3	250.00	0.00	2	9103.12500
1138.81	3	250.00	0.00	2	9134.06250
1138.88	3	250.00	0.00	2	9165.00000
1138.94	3	250.00	0.00	2	9195.93750
1139.00	3	250.00	0.00	2	9226.87500
1139.06	3	250.00	0.00	2	9257.81250
1139.13	3	250.00	0.00	2	9288.75000
1139.19	3	250.00	0.00	2	9319.68750
1139.25	3	250.00	0.00	2	9350.62500
1139.31	3	250.00	0.00	2	9381.56250
1139.38	3	250.00	0.00	2	9412.50000
1139.44	3	250.00	0.00	2	9443.43750
1139.50	3	250.00	0.00	2	9474.37500
1139.56	3	250.00	0.00	2	9505.31250
1139.63	3	250.00	0.00	2	9536.25000
1139.69	3	250.00	0.00	2	9567.18750
1139.75	3	250.00	0.00	2	9598.12500
1139.81	3	250.00	0.00	2	9629.06250
1139.88	3	250.00	0.00	2	9660.00000
1139.94	3	250.00	0.00	2	9690.93750
1140.00	3	250.00	0.00	2	9721.87500
1140.06	3	250.00	0.00	2	9752.81250
1140.13	3	250.00	0.00	2	9783.75000
1140.19	3	250.00	0.00	2	9814.68750
1140.25	3	250.00	0.00	2	9845.62500
1140.31	3	250.00	0.00	2	9876.56250
1140.38	3	250.00	0.00	2	9907.50000
1140.44	3	250.00	0.00	2	9938.43750
1140.50	3	250.00	0.00	2	9969.37500
1140.56	3	250.00	0.00	2	10000.31250
1140.63	3	250.00	0.00	2	10031.25000
1140.69	3	250.00	0.00	2	10062.18750
1140.75	3	250.00	0.00	2	10093.12500
1140.81	3	250.00	0.00	2	10124.06250
1140.88	3	250.00	0.00	2	10155.00000
1140.94	3	250.00	0.00	2	10185.93750
1141.00	3	250.00	0.00	2	10216.87500
1141.06	3	250.00	0.00	2	10247.81250
1141.13	3	250.00	0.00	2	10278.75000
1141.19	3	250.00	0.00	2	10309.68750
1141.25	3	250.00	0.00	2	10340.62500
1141.31	3	250.00	0.00	2	10371.56250
1141.38	3	250.00	0.00	2	10402.50000
1141.44	3	250.00	0.00	2	10433.43750
1141.50	3	250.00	0.00	2	10464.37500
1141.56	3	250.00	0.00	2	10495.31250
1141.63	3	250.00	0.00	2	10526.25000
1141.69	3	250.00	0.00	2	10557.18750
1141.75	3	250.00	0.00	2	10588.12500
1141.81	3	250.00	0.00	2	10619.06250
1141.88	3	250.00	0.00	2	10650.00000
1141.94	3	250.00	0.00	2	10680.93750
1142.00	3	250.00	0.00	2	10711.87500
1142.06	3	250.00	0.00	2	10742.81250
1142.13	3	250.00	0.00	2	10773.75000
1142.19	3	250.00	0.00	2	10804.68750
1142.25	3	250.00	0.00	2	10835.62500
1142.31	3	250.00	0.00	2	10866.56250
1142.38	3	250.00	0.00	2	10897.50000
1142.44	3	250.00	0.00	2	10928.43750
1142.50	3	250.00	0.00	2	10959.37500
1142.56	3	250.00	0.00	2	10990.31250
1142.63	3	250.00	0.00	2	11021.25000
1142.69	3	250.00	0.00	2	11052.18750
1142.75	3	250.00	0.00	2	11083.12500
1142.81	3	250.00	0.00	2	11114.06250
1142.88	3	250.00	0.00	2	11145.00000
1142.94	3	250.00	0.00	2	11175.93750
1143.00	3	250.00	0.00	2	11206.87500
1143.06	3	250.00	0.00	2	11237.81250
1143.13	3	250.00	0.00	2	11268.75000
1143.19	3	250.00	0.00	2	11299.68750
1143.25	3	250.00	0.00	2	11330.62500
1143.31	3	250.00	0.00	2	11361.56250
1143.38	3	250.00	0.00	2	11392.50000
1143.44	3	250.00	0.00	2	11423.43750
1143.50	3	250.00	0.00	2	11454.37500
1143.56	3	250.00	0.00	2	11485.31250
1143.63	3	250.00	0.00	2	11516.25000
1143.69	3	250.00	0.00	2	11547.18750
1143.75	3	250.00	0.00	2	11578.12500
1143.81	3	250.00	0.00	2	11609.06250
1143.88	3	250.00	0.00	2	11640.00000
1143.94	3	250.00	0.00	2	11670.93750
1144.00	3	250.00	0.00	2	11701.87500
1144.06	3	250.00	0.00	2	11732.81250
1144.13	3	250.00	0.00	2	11763.75000
1144.19	3	250.00	0.00	2	11794.68750
1144.25	3	250.00	0.00	2	11825.62500
1144.31	3	250.00	0.00	2	11856.56250
1144.38	3	250.00	0.00	2	11887.50000
1144.44	3	250.00	0.00	2	11918.43750
1144.50	3	250.00	0.00	2	11949.37500
1144.56	3	250.00	0.00	2	11980.31250
1144.63	3	250.00	0.00	2	12011.25000
1144.69	3	250.00	0.00	2	12042.18750
1144.75	3	250.00	0.00	2	12073.12500
1144.81	3	250.00	0.00	2	12104.06250
1144.88	3	250.00	0.00	2	12135.00000
1144.94	3	250.00	0.00	2	12165.93750
1145.00	3	250.00	0.00	2	12196.87500
1145.06	3	250.00	0.00	2	12227.81250
1145.13	3	250.00	0.00	2	12258.75000
1145.19	3	250.00	0.00	2	12289.68750
1145.25	3	250.00	0.00	2	12320.62500
1145.31	3	250.00	0.00	2	12351.56250
1145.38	3	250.00	0.00	2	12382.50000
1145.44	3	250.00	0.00	2	12413.43750
1145.50	3	250.00	0.00	2	12444.37500
1145.56	3	250.00	0.00	2	12475.31250
1145.63	3	250.00	0.00	2	12506.25000
1145.69	3	250.00	0.00	2	12537.18750
1145.75	3	250.00	0.00	2	12568.12500
1145.81	3	250.00	0.00	2	12599.06250
1145.88	3	250.00	0.00	2	12630.00000
1145.94	3	250.00	0.00	2	12660.93750
1146.00	3	250.00	0.00	2	12691.87500
1146.06	3	250.00	0.00	2	12722.81250
1146.13	3	250.00	0.00	2	12753.75000
1146.19	3	250.00	0.00	2	12784.68750
1146.25	3	250.00	0.00	2	12815.62500
1146.31	3	250.00	0.00	2	12846.56250
1146.38	3	250.00	0.00	2	12877.50000
1146.44	3	250.00	0.00	2	12908.43750
1146.50	3	250.00	0.00	2	12939.37500
1146.56	3	250.00	0.00	2	12970.31250
1146.63	3	250.00	0.00	2	13001.25000
1146.69	3	250.00	0.00	2	13032.18750
1146.75	3	250.00	0.00	2	13063.12500
1146.81	3	250.00	0.00	2	13094.06250
1146.88	3	250.00	0.00	2	13125.00000
1146.94	3	250.00	0.00	2	13155.93750
1147.00	3	250.00	0.00	2	13186.87500
1147.06	3	250.00	0.00	2	13217.81250
1147.13	3	250.00	0.00	2	13248.75000
1147.19	3	250.00	0.00	2	13279.68750
1147.25	3	250.00	0.00	2	13310.62500
1147.31	3	250.00	0.00	2	13341.56250
1147.38	3	250.00	0.00	2	13372.50000
1147.44	3	250.00	0.00	2	13403.43750
1147.50	3	250.00	0.00	2	13434.37500
1147.56	3	250.00	0.00	2	13465.31250
1147.63	3	250.00	0.00	2	13496.25000
1147.69	3	250.00	0.00	2	13527.18750
1147.75	3	250.00	0.00	2	13558.12500
1147.81	3	250.00	0.00	2	13589.06250
1147.88	3	250.00	0.00	2	13620.00000
1147.94	3	250.00	0.00	2	13650.93750
1148.00	3	250.00	0.00	2	13681.87500
1148.06	3	250.00	0.00	2	13712.81250
1148.13	3	250.00	0.00	2	13743.75000
1148.19	3	250.00	0.00	2	13774.68750
1148.25	3	250.00	0.00	2	13805.62500
1148.31	3	250.00	0.00	2	13836.56250
1148.38	3	250.00	0.00	2	13867.50000
