Time	ID	Xcord	Ycord	Energy	State	CNType	DNType	TaskID	Active
0.00	3	0.00	0.00	14999.000	-1	CHARGER	REST	0	NaN
0.10	3	0.00	0.00	14998.000	-1	CHARGER	REST	0	NaN
0.20	3	0.00	0.00	14997.000	-1	CHARGER	REST	0	NaN
0.30	3	0.00	0.00	14996.000	-1	CHARGER	REST	0	NaN
0.40	3	0.00	0.00	14995.000	-1	CHARGER	REST	0	NaN
0.50	3	0.00	0.00	14994.000	-1	CHARGER	REST	0	NaN
0.60	3	0.00	0.00	14993.000	-1	CHARGER	REST	0	NaN
0.70	3	0.00	0.00	14992.000	-1	CHARGER	REST	0	NaN
0.80	3	0.00	0.00	14991.000	-1	CHARGER	REST	0	NaN
0.90	3	0.00	0.00	14990.000	-1	CHARGER	REST	0	NaN
1.00	3	0.00	0.00	14989.000	-1	CHARGER	REST	0	NaN
1.10	3	0.00	0.00	14988.000	-1	CHARGER	REST	0	NaN
1.20	3	0.00	0.00	14987.000	-1	CHARGER	REST	0	NaN
1.30	3	0.00	0.00	14986.000	-1	CHARGER	REST	0	NaN
1.40	3	0.00	0.00	14985.000	-1	CHARGER	REST	0	NaN
1.50	3	0.00	0.00	14984.000	-1	CHARGER	REST	0	NaN
1.60	3	0.00	0.00	14983.000	-1	CHARGER	REST	0	NaN
1.70	3	0.00	0.00	14982.000	-1	CHARGER	REST	0	NaN
1.80	3	0.00	0.00	14981.000	-1	CHARGER	REST	0	NaN
1.90	3	0.00	0.00	14980.000	-1	CHARGER	REST	0	NaN
2.00	3	0.00	0.00	14979.000	-1	CHARGER	REST	0	NaN
2.10	3	0.00	0.00	14978.000	-1	CHARGER	REST	0	NaN
2.20	3	0.00	0.00	14977.000	-1	CHARGER	REST	0	NaN
2.30	3	0.00	0.00	14976.000	-1	CHARGER	REST	0	NaN
2.40	3	0.00	0.00	14975.000	-1	CHARGER	REST	0	NaN
2.50	3	0.00	0.00	14974.000	-1	CHARGER	REST	0	NaN
2.60	3	0.00	0.00	14973.000	-1	CHARGER	REST	0	NaN
2.70	3	0.00	0.00	14972.000	-1	CHARGER	REST	0	NaN
2.80	3	0.00	0.00	14971.000	-1	CHARGER	REST	0	NaN
2.90	3	0.00	0.00	14970.000	-1	CHARGER	REST	0	NaN
3.00	3	0.00	0.00	14969.000	-1	CHARGER	REST	0	NaN
3.10	3	0.00	0.00	14968.000	-1	CHARGER	REST	0	NaN
3.20	3	0.00	0.00	14967.000	-1	CHARGER	REST	0	NaN
3.30	3	0.00	0.00	14966.000	-1	CHARGER	REST	0	NaN
3.40	3	0.00	0.00	14965.000	-1	CHARGER	REST	0	NaN
3.50	3	0.00	0.00	14964.000	-1	CHARGER	REST	0	NaN
3.60	3	0.00	0.00	14963.000	-1	CHARGER	REST	0	NaN
3.70	3	0.00	0.00	14962.000	-1	CHARGER	REST	0	NaN
3.80	3	0.00	0.00	14961.000	-1	CHARGER	REST	0	NaN
3.90	3	0.00	0.00	14960.000	-1	CHARGER	REST	0	NaN
4.00	3	0.00	0.00	14959.000	-1	CHARGER	REST	0	NaN
4.10	3	0.00	0.00	14958.000	-1	CHARGER	REST	0	NaN
4.20	3	0.00	0.00	14957.000	-1	CHARGER	REST	0	NaN
4.30	3	0.00	0.00	14956.000	-1	CHARGER	REST	0	NaN
4.40	3	0.00	0.00	14955.000	-1	CHARGER	REST	0	NaN
4.50	3	0.00	0.00	14954.000	-1	CHARGER	REST	0	NaN
4.60	3	0.00	0.00	14953.000	-1	CHARGER	REST	0	NaN
4.70	3	0.00	0.00	14952.000	-1	CHARGER	REST	0	NaN
4.80	3	0.00	0.00	14951.000	-1	CHARGER	REST	0	NaN
4.90	3	0.00	0.00	14950.000	-1	CHARGER	REST	0	NaN
5.00	3	0.00	0.00	14949.000	-1	CHARGER	REST	0	NaN
5.10	3	0.00	0.00	14948.000	-1	CHARGER	REST	0	NaN
5.20	3	0.00	0.00	14947.000	-1	CHARGER	REST	0	NaN
5.30	3	0.00	0.00	14946.000	-1	CHARGER	REST	0	NaN
5.40	3	0.00	0.00	14945.000	-1	CHARGER	REST	0	NaN
5.50	3	0.00	0.00	14944.000	-1	CHARGER	REST	0	NaN
5.60	3	0.00	0.00	14943.000	-1	CHARGER	REST	0	NaN
5.70	3	0.00	0.00	14942.000	-1	CHARGER	REST	0	NaN
5.80	3	0.00	0.00	14941.000	-1	CHARGER	REST	0	NaN
5.90	3	0.00	0.00	14940.000	-1	CHARGER	REST	0	NaN
6.00	3	0.00	0.00	14939.000	-1	CHARGER	REST	0	NaN
6.10	3	0.00	0.00	14938.000	-1	CHARGER	REST	0	NaN
6.20	3	0.00	0.00	14937.000	-1	CHARGER	REST	0	NaN
6.30	3	0.00	0.00	14936.000	-1	CHARGER	REST	0	NaN
6.40	3	0.00	0.00	14935.000	-1	CHARGER	REST	0	NaN
6.50	3	0.00	0.00	14934.000	-1	CHARGER	REST	0	NaN
6.60	3	0.00	0.00	14933.000	-1	CHARGER	REST	0	NaN
6.70	3	0.00	0.00	14932.000	-1	CHARGER	REST	0	NaN
6.80	3	0.00	0.00	14931.000	-1	CHARGER	REST	0	NaN
6.90	3	0.00	0.00	14930.000	-1	CHARGER	REST	0	NaN
7.00	3	0.00	0.00	14929.000	-1	CHARGER	REST	0	NaN
7.10	3	0.00	0.00	14928.000	-1	CHARGER	REST	0	NaN
7.20	3	0.00	0.00	14927.000	-1	CHARGER	REST	0	NaN
7.30	3	0.00	0.00	14926.000	-1	CHARGER	REST	0	NaN
7.40	3	0.00	0.00	14925.000	-1	CHARGER	REST	0	NaN
7.50	3	0.00	0.00	14924.000	-1	CHARGER	REST	0	NaN
7.60	3	0.00	0.00	14923.000	-1	CHARGER	REST	0	NaN
7.70	3	0.00	0.00	14922.000	-1	CHARGER	REST	0	NaN
7.80	3	0.00	0.00	14921.000	-1	CHARGER	REST	0	NaN
7.90	3	0.00	0.00	14920.000	-1	CHARGER	REST	0	NaN
8.00	3	0.00	0.00	14919.000	-1	CHARGER	REST	0	NaN
8.10	3	0.00	0.00	14918.000	-1	CHARGER	REST	0	NaN
8.20	3	0.00	0.00	14917.000	-1	CHARGER	REST	0	NaN
8.30	3	0.00	0.00	14916.000	-1	CHARGER	REST	0	NaN
8.40	3	0.00	0.00	14915.000	-1	CHARGER	REST	0	NaN
8.50	3	0.00	0.00	14914.000	-1	CHARGER	REST	0	NaN
8.60	3	0.00	0.00	14913.000	-1	CHARGER	REST	0	NaN
8.70	3	0.00	0.00	14912.000	-1	CHARGER	REST	0	NaN
8.80	3	0.00	0.00	14911.000	-1	CHARGER	REST	0	NaN
8.90	3	0.00	0.00	14910.000	-1	CHARGER	REST	0	NaN
9.00	3	0.00	0.00	14909.000	-1	CHARGER	REST	0	NaN
9.10	3	0.00	0.00	14908.000	-1	CHARGER	REST	0	NaN
9.20	3	0.00	0.00	14907.000	-1	CHARGER	REST	0	NaN
9.30	3	0.00	0.00	14906.000	-1	CHARGER	REST	0	NaN
9.40	3	0.00	0.00	14905.000	-1	CHARGER	REST	0	NaN
9.50	3	0.00	0.00	14904.000	-1	CHARGER	REST	0	NaN
9.60	3	0.00	0.00	14903.000	-1	CHARGER	REST	0	NaN
9.70	3	0.00	0.00	14902.000	-1	CHARGER	REST	0	NaN
9.80	3	0.00	0.00	14901.000	-1	CHARGER	REST	0	NaN
9.90	3	0.00	0.00	14900.000	-1	CHARGER	REST	0	NaN
10.00	3	0.00	0.00	14899.000	-1	CHARGER	REST	0	NaN
10.10	3	0.00	0.00	14898.000	-1	CHARGER	REST	0	NaN
10.20	3	0.00	0.00	14897.000	-1	CHARGER	REST	0	NaN
10.30	3	0.00	0.00	14896.000	-1	CHARGER	REST	0	NaN
10.40	3	0.00	0.00	14895.000	-1	CHARGER	REST	0	NaN
10.50	3	0.00	0.00	14894.000	-1	CHARGER	REST	0	NaN
10.60	3	0.00	0.00	14893.000	-1	CHARGER	REST	0	NaN
10.70	3	0.00	0.00	14892.000	-1	CHARGER	REST	0	NaN
10.80	3	0.00	0.00	14891.000	-1	CHARGER	REST	0	NaN
10.90	3	0.00	0.00	14890.000	-1	CHARGER	REST	0	NaN
11.00	3	0.00	0.00	14889.000	-1	CHARGER	REST	0	NaN
11.10	3	0.00	0.00	14888.000	-1	CHARGER	REST	0	NaN
11.20	3	0.00	0.00	14887.000	-1	CHARGER	REST	0	NaN
11.30	3	0.00	0.00	14886.000	-1	CHARGER	REST	0	NaN
11.40	3	0.00	0.00	14885.000	-1	CHARGER	REST	0	NaN
11.50	3	0.00	0.00	14884.000	-1	CHARGER	REST	0	NaN
11.60	3	0.00	0.00	14883.000	-1	CHARGER	REST	0	NaN
11.70	3	0.00	0.00	14882.000	-1	CHARGER	REST	0	NaN
11.80	3	0.00	0.00	14881.000	-1	CHARGER	REST	0	NaN
11.90	3	0.00	0.00	14880.000	-1	CHARGER	REST	0	NaN
12.00	3	0.00	0.00	14879.000	-1	CHARGER	REST	0	NaN
12.10	3	0.00	0.00	14878.000	-1	CHARGER	REST	0	NaN
12.20	3	0.00	0.00	14877.000	-1	CHARGER	REST	0	NaN
12.30	3	0.00	0.00	14876.000	-1	CHARGER	REST	0	NaN
12.40	3	0.00	0.00	14875.000	-1	CHARGER	REST	0	NaN
12.50	3	0.00	0.00	14874.000	-1	CHARGER	REST	0	NaN
12.60	3	0.00	0.00	14873.000	-1	CHARGER	REST	0	NaN
12.70	3	0.00	0.00	14872.000	-1	CHARGER	REST	0	NaN
12.80	3	0.00	0.00	14871.000	-1	CHARGER	REST	0	NaN
12.90	3	0.00	0.00	14870.000	-1	CHARGER	REST	0	NaN
13.00	3	0.00	0.00	14869.000	-1	CHARGER	REST	0	NaN
13.10	3	0.00	0.00	14868.000	-1	CHARGER	REST	0	NaN
13.20	3	0.00	0.00	14867.000	-1	CHARGER	REST	0	NaN
13.30	3	0.00	0.00	14866.000	-1	CHARGER	REST	0	NaN
13.40	3	0.00	0.00	14865.000	-1	CHARGER	REST	0	NaN
13.50	3	0.00	0.00	14864.000	-1	CHARGER	REST	0	NaN
13.60	3	0.00	0.00	14863.000	-1	CHARGER	REST	0	NaN
13.70	3	0.00	0.00	14862.000	-1	CHARGER	REST	0	NaN
13.80	3	0.00	0.00	14861.000	-1	CHARGER	REST	0	NaN
13.90	3	0.00	0.00	14860.000	-1	CHARGER	REST	0	NaN
14.00	3	0.00	0.00	14859.000	-1	CHARGER	REST	0	NaN
14.10	3	0.00	0.00	14858.000	-1	CHARGER	REST	0	NaN
14.20	3	0.00	0.00	14857.000	-1	CHARGER	REST	0	NaN
14.30	3	0.00	0.00	14856.000	-1	CHARGER	REST	0	NaN
14.40	3	0.00	0.00	14855.000	-1	CHARGER	REST	0	NaN
14.50	3	0.00	0.00	14854.000	-1	CHARGER	REST	0	NaN
14.60	3	0.00	0.00	14853.000	-1	CHARGER	REST	0	NaN
14.70	3	0.00	0.00	14852.000	-1	CHARGER	REST	0	NaN
14.80	3	0.00	0.00	14851.000	-1	CHARGER	REST	0	NaN
14.90	3	0.00	0.00	14850.000	-1	CHARGER	REST	0	NaN
15.00	3	0.00	0.00	14849.000	-1	CHARGER	REST	0	NaN
15.10	3	0.00	0.00	14848.000	-1	CHARGER	REST	0	NaN
15.20	3	0.00	0.00	14847.000	-1	CHARGER	REST	0	NaN
15.30	3	0.00	0.00	14846.000	-1	CHARGER	REST	0	NaN
15.40	3	0.00	0.00	14845.000	-1	CHARGER	REST	0	NaN
15.50	3	0.00	0.00	14844.000	-1	CHARGER	REST	0	NaN
15.60	3	0.00	0.00	14843.000	-1	CHARGER	REST	0	NaN
15.70	3	0.00	0.00	14842.000	-1	CHARGER	REST	0	NaN
15.80	3	0.00	0.00	14841.000	-1	CHARGER	REST	0	NaN
15.90	3	0.00	0.00	14840.000	-1	CHARGER	REST	0	NaN
16.00	3	0.00	0.00	14839.000	-1	CHARGER	REST	0	NaN
16.10	3	0.00	0.00	14838.000	-1	CHARGER	REST	0	NaN
16.20	3	0.00	0.00	14837.000	-1	CHARGER	REST	0	NaN
16.30	3	0.00	0.00	14836.000	-1	CHARGER	REST	0	NaN
16.40	3	0.00	0.00	14835.000	-1	CHARGER	REST	0	NaN
16.50	3	0.00	0.00	14834.000	-1	CHARGER	REST	0	NaN
16.60	3	0.00	0.00	14833.000	-1	CHARGER	REST	0	NaN
16.70	3	0.00	0.00	14832.000	-1	CHARGER	REST	0	NaN
16.80	3	0.00	0.00	14831.000	-1	CHARGER	REST	0	NaN
16.90	3	0.00	0.00	14830.000	-1	CHARGER	REST	0	NaN
17.00	3	0.00	0.00	14829.000	-1	CHARGER	REST	0	NaN
17.10	3	0.00	0.00	14828.000	-1	CHARGER	REST	0	NaN
17.20	3	0.00	0.00	14827.000	-1	CHARGER	REST	0	NaN
17.30	3	0.00	0.00	14826.000	-1	CHARGER	REST	0	NaN
17.40	3	0.00	0.00	14825.000	-1	CHARGER	REST	0	NaN
17.50	3	0.00	0.00	14824.000	-1	CHARGER	REST	0	NaN
17.60	3	0.00	0.00	14823.000	-1	CHARGER	REST	0	NaN
17.70	3	0.00	0.00	14822.000	-1	CHARGER	REST	0	NaN
17.80	3	0.00	0.00	14821.000	-1	CHARGER	REST	0	NaN
17.90	3	0.00	0.00	14820.000	-1	CHARGER	REST	0	NaN
18.00	3	0.00	0.00	14819.000	-1	CHARGER	REST	0	NaN
18.10	3	0.00	0.00	14818.000	-1	CHARGER	REST	0	NaN
18.20	3	0.00	0.00	14817.000	-1	CHARGER	REST	0	NaN
18.30	3	0.00	0.00	14816.000	-1	CHARGER	REST	0	NaN
18.40	3	0.00	0.00	14815.000	-1	CHARGER	REST	0	NaN
18.50	3	0.00	0.00	14814.000	-1	CHARGER	REST	0	NaN
18.60	3	0.00	0.00	14813.000	-1	CHARGER	REST	0	NaN
18.70	3	0.00	0.00	14812.000	-1	CHARGER	REST	0	NaN
18.80	3	0.00	0.00	14811.000	-1	CHARGER	REST	0	NaN
18.90	3	0.00	0.00	14810.000	-1	CHARGER	REST	0	NaN
19.00	3	0.00	0.00	14809.000	-1	CHARGER	REST	0	NaN
19.10	3	0.00	0.00	14808.000	-1	CHARGER	REST	0	NaN
19.20	3	0.00	0.00	14807.000	-1	CHARGER	REST	0	NaN
19.30	3	0.00	0.00	14806.000	-1	CHARGER	REST	0	NaN
19.40	3	0.00	0.00	14805.000	-1	CHARGER	REST	0	NaN
19.50	3	0.00	0.00	14804.000	-1	CHARGER	REST	0	NaN
19.60	3	0.00	0.00	14803.000	-1	CHARGER	REST	0	NaN
19.70	3	0.00	0.00	14802.000	-1	CHARGER	REST	0	NaN
19.80	3	0.00	0.00	14801.000	-1	CHARGER	REST	0	NaN
19.90	3	0.00	0.00	14800.000	-1	CHARGER	REST	0	NaN
20.00	3	0.00	0.00	14799.000	-1	CHARGER	REST	0	NaN
20.10	3	0.00	0.00	14798.000	-1	CHARGER	REST	0	NaN
20.20	3	0.00	0.00	14797.000	-1	CHARGER	REST	0	NaN
20.30	3	0.00	0.00	14796.000	-1	CHARGER	REST	0	NaN
20.40	3	0.00	0.00	14795.000	-1	CHARGER	REST	0	NaN
20.50	3	0.00	0.00	14794.000	-1	CHARGER	REST	0	NaN
20.60	3	0.00	0.00	14793.000	-1	CHARGER	REST	0	NaN
20.70	3	0.00	0.00	14792.000	-1	CHARGER	REST	0	NaN
20.80	3	0.00	0.00	14791.000	-1	CHARGER	REST	0	NaN
20.90	3	0.00	0.00	14790.000	-1	CHARGER	REST	0	NaN
21.00	3	0.00	0.00	14789.000	-1	CHARGER	REST	0	NaN
